indicator_x,country_code,year,value_x,indicator_y,value_y
paygap,ALB,2005,..,,
paygap,ALB,2006,..,,
paygap,ALB,2007,..,,
paygap,ALB,2008,14.7,,
paygap,ALB,2009,11.5,,
paygap,ALB,2010,..,,
paygap,ALB,2011,..,,
paygap,ALB,2012,..,,
paygap,ALB,2013,..,,
paygap,ALB,2014,10.1,,
paygap,ALB,2015,11.5,,
paygap,ALB,2016,11.4,,
paygap,ALB,2017,10.5,,
paygap,ALB,2018,..,,
paygap,AND,2005,..,,
paygap,AND,2006,..,,
paygap,AND,2007,..,,
paygap,AND,2008,..,,
paygap,AND,2009,..,,
paygap,AND,2010,..,,
paygap,AND,2011,..,,
paygap,AND,2012,..,,
paygap,AND,2013,..,,
paygap,AND,2014,..,,
paygap,AND,2015,..,,
paygap,AND,2016,..,,
paygap,AND,2017,19.0,,
paygap,AND,2018,..,,
paygap,ARM,2005,42.5,,
paygap,ARM,2006,40.8,,
paygap,ARM,2007,40.8,,
paygap,ARM,2008,41.8,,
paygap,ARM,2009,39.2,,
paygap,ARM,2010,35.9,,
paygap,ARM,2011,35.3,,
paygap,ARM,2012,35.6,,
paygap,ARM,2013,34.4,,
paygap,ARM,2014,34.1,,
paygap,ARM,2015,33.5,,
paygap,ARM,2016,33.6,,
paygap,ARM,2017,32.5,,
paygap,ARM,2018,..,,
paygap,AUT,2005,34.1,,
paygap,AUT,2006,34.2,,
paygap,AUT,2007,36.7,,
paygap,AUT,2008,35.3,,
paygap,AUT,2009,36.7,,
paygap,AUT,2010,33.9,,
paygap,AUT,2011,33.6,,
paygap,AUT,2012,36.3,,
paygap,AUT,2013,36.1,,
paygap,AUT,2014,35.1,,
paygap,AUT,2015,35.2,,
paygap,AUT,2016,34.3,paygap,15.670899643
paygap,AUT,2017,33.9,paygap,15.38215397
paygap,AUT,2018,..,paygap,14.876690892
paygap,AZE,2005,53.8,,
paygap,AZE,2006,52.6,,
paygap,AZE,2007,49.5,,
paygap,AZE,2008,43.2,,
paygap,AZE,2009,41.4,,
paygap,AZE,2010,45.2,,
paygap,AZE,2011,48.9,,
paygap,AZE,2012,53.1,,
paygap,AZE,2013,52.5,,
paygap,AZE,2014,45.3,,
paygap,AZE,2015,46.1,,
paygap,AZE,2016,49.7,,
paygap,AZE,2017,49.4,,
paygap,AZE,2018,..,,
paygap,BLR,2005,20.9,,
paygap,BLR,2006,20.1,,
paygap,BLR,2007,21.6,,
paygap,BLR,2008,26.1,,
paygap,BLR,2009,25.4,,
paygap,BLR,2010,23.4,,
paygap,BLR,2011,26.3,,
paygap,BLR,2012,25.5,,
paygap,BLR,2013,25.5,,
paygap,BLR,2014,23.4,,
paygap,BLR,2015,23.8,,
paygap,BLR,2016,21.5,,
paygap,BLR,2017,25.4,,
paygap,BLR,2018,..,,
paygap,BEL,2005,24.7,,
paygap,BEL,2006,23.6,,
paygap,BEL,2007,23.5,,
paygap,BEL,2008,22.9,,
paygap,BEL,2009,21.9,,
paygap,BEL,2010,21.7,,
paygap,BEL,2011,21.1,,
paygap,BEL,2012,20.4,,
paygap,BEL,2013,20.2,,
paygap,BEL,2014,20.2,,
paygap,BEL,2015,20.0,,
paygap,BEL,2016,20.2,paygap,3.7012987013
paygap,BEL,2017,..,paygap,4.1902961563
paygap,BEL,2018,..,,
paygap,BGR,2005,17.7,,
paygap,BGR,2006,16.8,,
paygap,BGR,2007,16.6,,
paygap,BGR,2008,17.9,,
paygap,BGR,2009,19.2,,
paygap,BGR,2010,19.4,,
paygap,BGR,2011,19.3,,
paygap,BGR,2012,20.5,,
paygap,BGR,2013,19.7,,
paygap,BGR,2014,20.1,,
paygap,BGR,2015,21.2,,
paygap,BGR,2016,20.1,,
paygap,BGR,2017,20.1,,
paygap,BGR,2018,..,,
paygap,CAN,2005,27.3,,
paygap,CAN,2006,27.2,,
paygap,CAN,2007,26.9,,
paygap,CAN,2008,27.0,,
paygap,CAN,2009,25.8,,
paygap,CAN,2010,25.8,,
paygap,CAN,2011,24.7,,
paygap,CAN,2012,24.9,,
paygap,CAN,2013,24.7,,
paygap,CAN,2014,24.7,,
paygap,CAN,2015,24.4,,
paygap,CAN,2016,23.8,paygap,18.221153846
paygap,CAN,2017,23.3,paygap,18.17322239
paygap,CAN,2018,..,paygap,18.518518519
paygap,HRV,2005,10.6,,
paygap,HRV,2006,11.0,,
paygap,HRV,2007,10.8,,
paygap,HRV,2008,11.1,,
paygap,HRV,2009,10.6,,
paygap,HRV,2010,10.2,,
paygap,HRV,2011,10.0,,
paygap,HRV,2012,9.8,,
paygap,HRV,2013,10.2,,
paygap,HRV,2014,11.3,,
paygap,HRV,2015,11.3,,
paygap,HRV,2016,13.2,,
paygap,HRV,2017,..,,
paygap,HRV,2018,..,,
paygap,CYP,2005,..,,
paygap,CYP,2006,25.1,,
paygap,CYP,2007,..,,
paygap,CYP,2008,..,,
paygap,CYP,2009,..,,
paygap,CYP,2010,19.5,,
paygap,CYP,2011,..,,
paygap,CYP,2012,..,,
paygap,CYP,2013,..,,
paygap,CYP,2014,15.1,,
paygap,CYP,2015,..,,
paygap,CYP,2016,..,,
paygap,CYP,2017,..,,
paygap,CYP,2018,..,,
paygap,CZE,2005,24.9,,
paygap,CZE,2006,24.6,,
paygap,CZE,2007,24.8,,
paygap,CZE,2008,25.9,,
paygap,CZE,2009,25.2,,
paygap,CZE,2010,24.9,,
paygap,CZE,2011,22.2,,
paygap,CZE,2012,22.1,,
paygap,CZE,2013,21.7,,
paygap,CZE,2014,21.9,,
paygap,CZE,2015,21.9,,
paygap,CZE,2016,21.1,paygap,16.023430838
paygap,CZE,2017,20.7,paygap,15.614010894
paygap,CZE,2018,..,paygap,15.127413864
paygap,DNK,2005,..,,
paygap,DNK,2006,21.4,,
paygap,DNK,2007,..,,
paygap,DNK,2008,..,,
paygap,DNK,2009,..,,
paygap,DNK,2010,19.6,,
paygap,DNK,2011,..,,
paygap,DNK,2012,..,,
paygap,DNK,2013,..,,
paygap,DNK,2014,..,,
paygap,DNK,2015,..,,
paygap,DNK,2016,..,paygap,5.7326280384
paygap,DNK,2017,..,paygap,5.2966919656
paygap,DNK,2018,..,paygap,4.8632060095
paygap,EST,2005,31.2,,
paygap,EST,2006,32.7,,
paygap,EST,2007,31.0,,
paygap,EST,2008,30.9,,
paygap,EST,2009,27.9,,
paygap,EST,2010,31.1,,
paygap,EST,2011,31.0,,
paygap,EST,2012,33.8,,
paygap,EST,2013,30.7,,
paygap,EST,2014,23.6,,
paygap,EST,2015,25.0,,
paygap,EST,2016,22.7,,
paygap,EST,2017,23.8,,
paygap,EST,2018,..,,
paygap,FIN,2005,19.1,,
paygap,FIN,2006,19.8,,
paygap,FIN,2007,19.8,,
paygap,FIN,2008,19.2,,
paygap,FIN,2009,18.9,,
paygap,FIN,2010,18.5,,
paygap,FIN,2011,18.0,,
paygap,FIN,2012,18.1,,
paygap,FIN,2013,17.8,,
paygap,FIN,2014,17.2,,
paygap,FIN,2015,17.0,,
paygap,FIN,2016,17.3,paygap,16.47225837
paygap,FIN,2017,16.7,paygap,17.717920638
paygap,FIN,2018,..,paygap,18.855203722
paygap,FRA,2005,..,,
paygap,FRA,2006,18.1,,
paygap,FRA,2007,..,,
paygap,FRA,2008,..,,
paygap,FRA,2009,..,,
paygap,FRA,2010,23.8,,
paygap,FRA,2011,..,,
paygap,FRA,2012,..,,
paygap,FRA,2013,..,,
paygap,FRA,2014,23.4,,
paygap,FRA,2015,..,,
paygap,FRA,2016,..,paygap,13.691416535
paygap,FRA,2017,..,,
paygap,FRA,2018,..,,
paygap,GEO,2005,51.0,,
paygap,GEO,2006,50.9,,
paygap,GEO,2007,49.5,,
paygap,GEO,2008,45.8,,
paygap,GEO,2009,42.3,,
paygap,GEO,2010,42.6,,
paygap,GEO,2011,40.3,,
paygap,GEO,2012,39.8,,
paygap,GEO,2013,36.4,,
paygap,GEO,2014,36.9,,
paygap,GEO,2015,35.5,,
paygap,GEO,2016,34.5,,
paygap,GEO,2017,35.7,,
paygap,GEO,2018,..,,
paygap,DEU,2005,..,,
paygap,DEU,2006,20.9,,
paygap,DEU,2007,..,,
paygap,DEU,2008,..,,
paygap,DEU,2009,..,,
paygap,DEU,2010,19.0,,
paygap,DEU,2011,..,,
paygap,DEU,2012,..,,
paygap,DEU,2013,..,,
paygap,DEU,2014,18.1,,
paygap,DEU,2015,..,,
paygap,DEU,2016,..,paygap,15.510718789
paygap,DEU,2017,..,paygap,16.19047619
paygap,DEU,2018,..,paygap,15.250121418
paygap,GRC,2005,..,,
paygap,GRC,2006,23.8,,
paygap,GRC,2007,..,,
paygap,GRC,2008,..,,
paygap,GRC,2009,..,,
paygap,GRC,2010,17.8,,
paygap,GRC,2011,..,,
paygap,GRC,2012,..,,
paygap,GRC,2013,..,,
paygap,GRC,2014,..,,
paygap,GRC,2015,..,,
paygap,GRC,2016,..,paygap,4.486279454
paygap,GRC,2017,..,paygap,4.486279454
paygap,GRC,2018,..,paygap,4.486279454
paygap,HUN,2005,..,,
paygap,HUN,2006,16.6,,
paygap,HUN,2007,18.5,,
paygap,HUN,2008,18.9,,
paygap,HUN,2009,18.4,,
paygap,HUN,2010,19.3,,
paygap,HUN,2011,19.6,,
paygap,HUN,2012,22.2,,
paygap,HUN,2013,20.7,,
paygap,HUN,2014,17.3,,
paygap,HUN,2015,17.0,,
paygap,HUN,2016,17.6,paygap,9.3643171806
paygap,HUN,2017,..,paygap,5.3202686547
paygap,HUN,2018,..,paygap,5.0632142857
paygap,ISL,2005,30.6,,
paygap,ISL,2006,30.7,,
paygap,ISL,2007,30.8,,
paygap,ISL,2008,28.3,,
paygap,ISL,2009,23.8,,
paygap,ISL,2010,22.7,,
paygap,ISL,2011,23.0,,
paygap,ISL,2012,22.7,,
paygap,ISL,2013,22.7,,
paygap,ISL,2014,21.9,,
paygap,ISL,2015,21.0,,
paygap,ISL,2016,21.8,paygap,11.543446315
paygap,ISL,2017,19.9,,
paygap,ISL,2018,..,,
paygap,IRL,2005,..,,
paygap,IRL,2006,..,,
paygap,IRL,2007,..,,
paygap,IRL,2008,..,,
paygap,IRL,2009,..,,
paygap,IRL,2010,..,,
paygap,IRL,2011,24.2,,
paygap,IRL,2012,24.6,,
paygap,IRL,2013,25.7,,
paygap,IRL,2014,26.0,,
paygap,IRL,2015,..,,
paygap,IRL,2016,..,,
paygap,IRL,2017,..,,
paygap,IRL,2018,..,,
paygap,ISR,2005,36.8,,
paygap,ISR,2006,36.6,,
paygap,ISR,2007,35.8,,
paygap,ISR,2008,36.9,,
paygap,ISR,2009,34.1,,
paygap,ISR,2010,34.3,,
paygap,ISR,2011,33.9,,
paygap,ISR,2012,32.6,,
paygap,ISR,2013,31.9,,
paygap,ISR,2014,33.1,,
paygap,ISR,2015,32.8,,
paygap,ISR,2016,34.6,paygap,21.593332041
paygap,ISR,2017,31.4,paygap,21.791789941
paygap,ISR,2018,..,paygap,22.659192432
paygap,ITA,2005,..,,
paygap,ITA,2006,26.4,,
paygap,ITA,2007,27.0,,
paygap,ITA,2008,24.8,,
paygap,ITA,2009,25.1,,
paygap,ITA,2010,14.6,,
paygap,ITA,2011,..,,
paygap,ITA,2012,..,,
paygap,ITA,2013,..,,
paygap,ITA,2014,17.5,,
paygap,ITA,2015,..,,
paygap,ITA,2016,..,paygap,5.5555555533
paygap,ITA,2017,..,,
paygap,ITA,2018,..,,
paygap,KAZ,2005,38.9,,
paygap,KAZ,2006,37.7,,
paygap,KAZ,2007,34.2,,
paygap,KAZ,2008,36.2,,
paygap,KAZ,2009,33.8,,
paygap,KAZ,2010,34.0,,
paygap,KAZ,2011,32.0,,
paygap,KAZ,2012,30.5,,
paygap,KAZ,2013,32.2,,
paygap,KAZ,2014,33.0,,
paygap,KAZ,2015,34.1,,
paygap,KAZ,2016,31.4,,
paygap,KAZ,2017,32.2,,
paygap,KAZ,2018,..,,
paygap,KGZ,2005,37.5,,
paygap,KGZ,2006,34.2,,
paygap,KGZ,2007,32.7,,
paygap,KGZ,2008,32.7,,
paygap,KGZ,2009,36.1,,
paygap,KGZ,2010,36.4,,
paygap,KGZ,2011,21.6,,
paygap,KGZ,2012,25.7,,
paygap,KGZ,2013,26.7,,
paygap,KGZ,2014,28.9,,
paygap,KGZ,2015,24.5,,
paygap,KGZ,2016,24.7,,
paygap,KGZ,2017,27.5,,
paygap,KGZ,2018,..,,
paygap,LVA,2005,18.1,,
paygap,LVA,2006,17.6,,
paygap,LVA,2007,16.1,,
paygap,LVA,2008,15.1,,
paygap,LVA,2009,16.0,,
paygap,LVA,2010,18.4,,
paygap,LVA,2011,16.5,,
paygap,LVA,2012,16.8,,
paygap,LVA,2013,16.9,,
paygap,LVA,2014,17.0,,
paygap,LVA,2015,16.1,,
paygap,LVA,2016,17.1,,
paygap,LVA,2017,15.3,,
paygap,LVA,2018,..,,
paygap,LIE,2005,20.2,,
paygap,LIE,2006,20.0,,
paygap,LIE,2007,..,,
paygap,LIE,2008,19.5,,
paygap,LIE,2009,..,,
paygap,LIE,2010,17.8,,
paygap,LIE,2011,..,,
paygap,LIE,2012,17.2,,
paygap,LIE,2013,..,,
paygap,LIE,2014,16.5,,
paygap,LIE,2015,..,,
paygap,LIE,2016,15.2,,
paygap,LIE,2017,..,,
paygap,LIE,2018,..,,
paygap,LTU,2005,17.6,,
paygap,LTU,2006,17.8,,
paygap,LTU,2007,20.7,,
paygap,LTU,2008,19.1,,
paygap,LTU,2009,12.8,,
paygap,LTU,2010,14.3,,
paygap,LTU,2011,13.5,,
paygap,LTU,2012,13.5,,
paygap,LTU,2013,14.3,,
paygap,LTU,2014,15.0,,
paygap,LTU,2015,15.5,,
paygap,LTU,2016,15.6,,
paygap,LTU,2017,15.1,,
paygap,LTU,2018,..,,
paygap,LUX,2005,19.2,,
paygap,LUX,2006,18.7,,
paygap,LUX,2007,17.7,,
paygap,LUX,2008,17.3,,
paygap,LUX,2009,..,,
paygap,LUX,2010,..,,
paygap,LUX,2011,..,,
paygap,LUX,2012,..,,
paygap,LUX,2013,..,,
paygap,LUX,2014,7.8,,
paygap,LUX,2015,..,,
paygap,LUX,2016,..,,
paygap,LUX,2017,7.6,,
paygap,LUX,2018,..,,
paygap,MLT,2005,..,,
paygap,MLT,2006,14.0,,
paygap,MLT,2007,..,,
paygap,MLT,2008,..,,
paygap,MLT,2009,..,,
paygap,MLT,2010,15.3,,
paygap,MLT,2011,..,,
paygap,MLT,2012,..,,
paygap,MLT,2013,..,,
paygap,MLT,2014,18.4,,
paygap,MLT,2015,24.5,,
paygap,MLT,2016,23.4,,
paygap,MLT,2017,..,,
paygap,MLT,2018,..,,
paygap,NLD,2005,41.4,,
paygap,NLD,2006,44.5,,
paygap,NLD,2007,43.9,,
paygap,NLD,2008,43.1,,
paygap,NLD,2009,42.8,,
paygap,NLD,2010,42.6,,
paygap,NLD,2011,42.4,,
paygap,NLD,2012,41.7,,
paygap,NLD,2013,41.0,,
paygap,NLD,2014,40.4,,
paygap,NLD,2015,39.9,,
paygap,NLD,2016,39.1,,
paygap,NLD,2017,38.3,,
paygap,NLD,2018,..,,
paygap,MKD,2005,..,,
paygap,MKD,2006,..,,
paygap,MKD,2007,..,,
paygap,MKD,2008,..,,
paygap,MKD,2009,..,,
paygap,MKD,2010,6.7,,
paygap,MKD,2011,..,,
paygap,MKD,2012,..,,
paygap,MKD,2013,..,,
paygap,MKD,2014,8.8,,
paygap,MKD,2015,..,,
paygap,MKD,2016,..,,
paygap,MKD,2017,..,,
paygap,MKD,2018,..,,
paygap,NOR,2005,15.3,,
paygap,NOR,2006,15.4,,
paygap,NOR,2007,15.7,,
paygap,NOR,2008,16.1,,
paygap,NOR,2009,15.3,,
paygap,NOR,2010,15.0,,
paygap,NOR,2011,14.7,,
paygap,NOR,2012,13.5,,
paygap,NOR,2013,14.2,,
paygap,NOR,2014,13.6,,
paygap,NOR,2015,13.9,,
paygap,NOR,2016,14.7,paygap,6.764027671
paygap,NOR,2017,13.9,paygap,6.3909774436
paygap,NOR,2018,13.3,paygap,5.8492413118
paygap,POL,2005,..,,
paygap,POL,2006,17.8,,
paygap,POL,2007,..,,
paygap,POL,2008,18.7,,
paygap,POL,2009,..,,
paygap,POL,2010,15.0,,
paygap,POL,2011,..,,
paygap,POL,2012,16.7,,
paygap,POL,2013,..,,
paygap,POL,2014,17.1,,
paygap,POL,2015,..,,
paygap,POL,2016,15.6,paygap,9.4178809362
paygap,POL,2017,..,,
paygap,POL,2018,..,paygap,11.497909952
paygap,PRT,2005,..,,
paygap,PRT,2006,12.7,,
paygap,PRT,2007,..,,
paygap,PRT,2008,..,,
paygap,PRT,2009,..,,
paygap,PRT,2010,16.9,,
paygap,PRT,2011,..,,
paygap,PRT,2012,..,,
paygap,PRT,2013,..,,
paygap,PRT,2014,18.1,,
paygap,PRT,2015,..,,
paygap,PRT,2016,..,paygap,14.313146076
paygap,PRT,2017,..,paygap,14.773510708
paygap,PRT,2018,..,paygap,9.5866017068
paygap,MDA,2005,18.2,,
paygap,MDA,2006,13.9,,
paygap,MDA,2007,18.0,,
paygap,MDA,2008,19.8,,
paygap,MDA,2009,18.4,,
paygap,MDA,2010,20.4,,
paygap,MDA,2011,2.8,,
paygap,MDA,2012,3.9,,
paygap,MDA,2013,8.9,,
paygap,MDA,2014,7.7,,
paygap,MDA,2015,13.2,,
paygap,MDA,2016,14.5,,
paygap,MDA,2017,13.5,,
paygap,MDA,2018,..,,
paygap,ROU,2005,14.1,,
paygap,ROU,2006,13.1,,
paygap,ROU,2007,10.6,,
paygap,ROU,2008,6.3,,
paygap,ROU,2009,6.9,,
paygap,ROU,2010,11.0,,
paygap,ROU,2011,11.9,,
paygap,ROU,2012,9.9,,
paygap,ROU,2013,7.8,,
paygap,ROU,2014,7.4,,
paygap,ROU,2015,7.3,,
paygap,ROU,2016,6.7,,
paygap,ROU,2017,3.7,,
paygap,ROU,2018,..,,
paygap,RUS,2005,36.3,,
paygap,RUS,2006,..,,
paygap,RUS,2007,34.1,,
paygap,RUS,2008,..,,
paygap,RUS,2009,32.1,,
paygap,RUS,2010,..,,
paygap,RUS,2011,32.1,,
paygap,RUS,2012,..,,
paygap,RUS,2013,25.8,,
paygap,RUS,2014,..,,
paygap,RUS,2015,..,,
paygap,RUS,2016,..,,
paygap,RUS,2017,..,,
paygap,RUS,2018,..,,
paygap,SRB,2005,7.3,,
paygap,SRB,2006,6.7,,
paygap,SRB,2007,3.7,,
paygap,SRB,2008,4.8,,
paygap,SRB,2009,3.5,,
paygap,SRB,2010,7.0,,
paygap,SRB,2011,8.9,,
paygap,SRB,2012,10.1,,
paygap,SRB,2013,11.7,,
paygap,SRB,2014,13.1,,
paygap,SRB,2015,16.7,,
paygap,SRB,2016,17.8,,
paygap,SRB,2017,18.0,,
paygap,SRB,2018,..,,
paygap,SVK,2005,28.4,,
paygap,SVK,2006,26.9,,
paygap,SVK,2007,25.8,,
paygap,SVK,2008,24.0,,
paygap,SVK,2009,25.3,,
paygap,SVK,2010,24.6,,
paygap,SVK,2011,24.3,,
paygap,SVK,2012,24.1,,
paygap,SVK,2013,22.5,,
paygap,SVK,2014,23.1,,
paygap,SVK,2015,22.4,,
paygap,SVK,2016,22.0,paygap,13.899182143
paygap,SVK,2017,22.1,paygap,15.040042332
paygap,SVK,2018,..,paygap,15.662080133
paygap,SVN,2005,6.9,,
paygap,SVN,2006,6.9,,
paygap,SVN,2007,7.8,,
paygap,SVN,2008,7.2,,
paygap,SVN,2009,2.9,,
paygap,SVN,2010,3.7,,
paygap,SVN,2011,4.6,,
paygap,SVN,2012,5.1,,
paygap,SVN,2013,5.4,,
paygap,SVN,2014,5.3,,
paygap,SVN,2015,5.9,,
paygap,SVN,2016,5.9,,
paygap,SVN,2017,5.9,,
paygap,SVN,2018,..,,
paygap,ESP,2005,27.5,,
paygap,ESP,2006,26.3,,
paygap,ESP,2007,25.6,,
paygap,ESP,2008,21.9,,
paygap,ESP,2009,22.0,,
paygap,ESP,2010,22.5,,
paygap,ESP,2011,23.0,,
paygap,ESP,2012,23.9,,
paygap,ESP,2013,24.0,,
paygap,ESP,2014,23.3,,
paygap,ESP,2015,22.9,,
paygap,ESP,2016,22.3,,
paygap,ESP,2017,..,,
paygap,ESP,2018,..,,
paygap,SWE,2005,16.3,,
paygap,SWE,2006,15.9,,
paygap,SWE,2007,16.1,,
paygap,SWE,2008,16.0,,
paygap,SWE,2009,14.6,,
paygap,SWE,2010,14.4,,
paygap,SWE,2011,14.1,,
paygap,SWE,2012,14.0,,
paygap,SWE,2013,13.7,,
paygap,SWE,2014,13.1,,
paygap,SWE,2015,12.3,,
paygap,SWE,2016,12.0,paygap,8.1699346405
paygap,SWE,2017,11.2,paygap,7.3482428115
paygap,SWE,2018,..,paygap,7.1428571429
paygap,CHE,2005,..,,
paygap,CHE,2006,18.9,,
paygap,CHE,2007,..,,
paygap,CHE,2008,19.3,,
paygap,CHE,2009,..,,
paygap,CHE,2010,18.4,,
paygap,CHE,2011,..,,
paygap,CHE,2012,22.1,,
paygap,CHE,2013,..,,
paygap,CHE,2014,15.1,,
paygap,CHE,2015,..,,
paygap,CHE,2016,14.6,paygap,14.762372073
paygap,CHE,2017,..,,
paygap,CHE,2018,..,paygap,15.095647352
paygap,TJK,2005,48.0,,
paygap,TJK,2006,44.6,,
paygap,TJK,2007,43.3,,
paygap,TJK,2008,38.7,,
paygap,TJK,2009,40.3,,
paygap,TJK,2010,44.0,,
paygap,TJK,2011,50.9,,
paygap,TJK,2012,..,,
paygap,TJK,2013,..,,
paygap,TJK,2014,..,,
paygap,TJK,2015,..,,
paygap,TJK,2016,..,,
paygap,TJK,2017,..,,
paygap,TJK,2018,..,,
paygap,UKR,2005,29.1,,
paygap,UKR,2006,27.2,,
paygap,UKR,2007,27.1,,
paygap,UKR,2008,24.8,,
paygap,UKR,2009,22.8,,
paygap,UKR,2010,22.2,,
paygap,UKR,2011,25.1,,
paygap,UKR,2012,22.4,,
paygap,UKR,2013,22.8,,
paygap,UKR,2014,23.7,,
paygap,UKR,2015,25.1,,
paygap,UKR,2016,25.3,,
paygap,UKR,2017,21.2,,
paygap,UKR,2018,..,,
paygap,GBR,2005,21.1,,
paygap,GBR,2006,20.9,,
paygap,GBR,2007,20.8,,
paygap,GBR,2008,21.0,,
paygap,GBR,2009,19.8,,
paygap,GBR,2010,18.3,,
paygap,GBR,2011,18.2,,
paygap,GBR,2012,17.8,,
paygap,GBR,2013,17.5,,
paygap,GBR,2014,17.4,,
paygap,GBR,2015,17.1,,
paygap,GBR,2016,16.8,paygap,16.796536797
paygap,GBR,2017,16.5,paygap,16.534100525
paygap,GBR,2018,..,paygap,16.310424203
paygap,USA,2005,41.4,,
paygap,USA,2006,39.1,,
paygap,USA,2007,37.9,,
paygap,USA,2008,..,,
paygap,USA,2009,..,,
paygap,USA,2010,..,,
paygap,USA,2011,..,,
paygap,USA,2012,..,,
paygap,USA,2013,..,,
paygap,USA,2014,..,,
paygap,USA,2015,..,,
paygap,USA,2016,..,paygap,18.142076503
paygap,USA,2017,..,paygap,18.172157279
paygap,USA,2018,..,paygap,18.910585817
,AUS,2016,,paygap,11.538461538
,AUS,2017,,paygap,11.664190193
,AUS,2018,,paygap,11.714285714
,CAN,2019,,paygap,17.59375
,CZE,2019,,paygap,14.714332257
,JPN,2016,,paygap,24.601289447
,JPN,2017,,paygap,24.518092661
,JPN,2018,,paygap,23.537368955
,JPN,2019,,paygap,23.480013436
,KOR,2016,,paygap,36.666666667
,KOR,2017,,paygap,34.617382557
,KOR,2018,,paygap,34.107310951
,KOR,2019,,paygap,32.480444715
,MEX,2016,,paygap,16.492248062
,MEX,2017,,paygap,11.111111111
,MEX,2018,,paygap,14.0
,MEX,2019,,paygap,18.75
,NZL,2016,,paygap,7.7692307692
,NZL,2017,,paygap,7.1508379888
,NZL,2018,,paygap,7.8696925329
,NZL,2019,,paygap,6.5084501978
,NOR,2019,,paygap,4.9940828402
,SVK,2019,,paygap,13.869849949
,SWE,2019,,paygap,7.5757575758
,GBR,2019,,paygap,16.008911521
,USA,2019,,paygap,18.470705065
,CHL,2017,,paygap,12.5
,COL,2016,,paygap,7.0917506686
,COL,2017,,paygap,7.6923076923
,COL,2018,,paygap,5.7879259259
,COL,2019,,paygap,4.0
,CRI,2016,,paygap,1.7857142857
,CRI,2017,,paygap,2.967032967
,CRI,2018,,paygap,4.7252747253
,CRI,2019,,paygap,0.0
,OECD,2016,,paygap,13.2659380064312
,OECD,2017,,paygap,13.0077221584776
,OECD,2018,,paygap,12.8900073252095
